total_area,living_area,kitchen_area,cityCenters_nearest,bedrooms,floors_total,ceiling_height,airports_nearest,floor,balcony,price_class
222.0,160.0,30.0,573,4,5,3.6,21887,4,0,1.0
66.9,48.0,7.0,10895,3,2,3.0,39192,2,4,1.0
88.4,51.7,13.5,11969,3,17,2.55,13172,11,5,1.0
104.0,59.0,13.0,5780,3,12,3.0,26933,4,1,1.0
64.0,38.0,9.0,7692,3,5,3.2,28845,4,0,0.0
101.4,74.4,10.6,4257,4,3,2.82,21629,3,0,1.0
136.2,99.5,10.2,4699,4,6,3.0,25997,5,0,1.0
36.0,25.0,6.0,5498,2,3,2.75,24930,1,0,1.0
51.0,27.2,11.0,12430,2,12,2.64,33700,2,0,0.0
81.5,43.7,13.8,1953,3,6,3.5,21230,1,0,1.0
111.0,51.2,26.2,7201,2,16,2.75,29829,10,2,1.0
120.0,64.4,22.6,16622,3,16,2.75,48783,5,0,1.0
62.0,42.1,8.3,9706,3,9,2.5,36263,4,0,1.0
41.0,17.0,10.0,11841,1,17,2.65,36688,11,0,0.0
57.1,39.0,6.1,11347,3,9,2.53,19816,8,1,0.0
56.3,38.8,6.1,11663,3,5,2.6,40619,2,0,0.0
64.3,51.3,7.0,14042,3,5,2.85,19755,2,0,0.0
58.5,32.0,9.2,5718,2,6,3.0,27016,2,0,1.0
79.6,42.7,18.0,11096,2,8,3.0,39393,7,0,1.0
30.0,16.0,7.0,14060,1,9,2.5,17942,9,0,0.0
61.4,43.6,7.4,17697,3,5,2.58,17492,1,0,0.0
107.8,40.9,36.3,15289,3,4,3.0,40005,3,0,1.0
65.5,39.2,10.6,9436,2,15,2.65,27573,13,2,1.0
42.0,18.6,10.8,12109,1,9,2.6,33205,3,2,0.0
67.7,49.5,7.6,6073,3,5,3.1,21681,2,0,1.0
44.5,33.0,7.0,5262,2,6,3.2,32478,6,0,0.0
97.0,64.0,17.0,11870,3,25,2.8,28116,20,0,1.0
53.0,32.4,8.0,3848,2,5,3.2,24281,4,0,1.0
50.9,19.8,10.4,6947,1,5,3.0,33814,5,0,1.0
68.0,33.0,11.0,13607,2,10,2.7,14811,8,1,1.0
41.52,17.1,13.25,5082,1,9,3.0,31401,9,1,1.0
47.0,27.0,9.4,12199,2,9,2.6,27616,8,0,0.0
52.0,33.0,7.0,11360,2,12,2.6,16117,3,0,0.0
49.0,19.0,13.6,8460,1,13,3.0,37434,10,2,1.0
64.1,35.7,14.2,13704,2,10,2.6,32605,7,0,1.0
